DATE,XTEXVA01GBM667S
1960-01-01,918886017.516366
1960-02-01,871546941.7126421
1960-03-01,863931004.927405
1960-04-01,905130904.403026
1960-05-01,901593808.107127
1960-06-01,847783219.0573959
1960-07-01,869065167.9130371
1960-08-01,875049012.283226
1960-09-01,877880836.997295
1960-10-01,830583096.6550341
1960-11-01,928373800.3179411
1960-12-01,928665746.906575
1961-01-01,957294742.539794
1961-02-01,916368873.688238
1961-03-01,894368475.5192109
1961-04-01,923640124.972794
1961-05-01,864077460.140139
1961-06-01,929756430.243754
1961-07-01,945259912.735195
1961-08-01,950272066.488866
1961-09-01,908341105.5437161
1961-10-01,942896258.668216
1961-11-01,916766766.832361
1961-12-01,937125814.538927
1962-01-01,917061417.237346
1962-02-01,927349727.451925
1962-03-01,927540112.894969
1962-04-01,974341907.253703
1962-05-01,960619669.55447
1962-06-01,959648200.07495
1962-07-01,957084843.990442
1962-08-01,920366032.983
1962-09-01,974905634.97218
1962-10-01,979992187.0962601
1962-11-01,931435806.171059
1962-12-01,963313814.697808
1963-01-01,968723742.839903
1963-02-01,992412426.6116229
1963-03-01,1028345282.48014
1963-04-01,996479696.012554
1963-05-01,1000248029.6259799
1963-06-01,1033103953.44334
1963-07-01,1018978996.31743
1963-08-01,1042385873.3984599
1963-09-01,1031440911.46907
1963-10-01,1027450021.50444
1963-11-01,1037528296.7241199
1963-12-01,1059504817.833
1964-01-01,1025233670.40529
1964-02-01,1077457260.03529
1964-03-01,1109877672.51807
1964-04-01,1039874902.8304698
1964-05-01,1113954758.99203
1964-06-01,1044904463.3065101
1964-07-01,1014459734.3460599
1964-08-01,1107141340.58927
1964-09-01,1034948857.78324
1964-10-01,1073785006.31149
1964-11-01,1060680170.0928601
1964-12-01,1113388215.61868
1965-01-01,1104168864.98193
1965-02-01,1100508712.62447
1965-03-01,1070114547.1168101
1965-04-01,1146468614.7429
1965-05-01,1132829173.11726
1965-06-01,1166085390.8180299
1965-07-01,1200327516.9498599
1965-08-01,1129037823.57252
1965-09-01,1156379883.379
1965-10-01,1165298869.33637
1965-11-01,1197723790.81945
1965-12-01,1180862915.52919
1966-01-01,1182884553.73318
1966-02-01,1227443591.9063
1966-03-01,1267345262.41151
1966-04-01,1185778912.91326
1966-05-01,1210801541.64803
1966-06-01,1123953044.28134
1966-07-01,1188591314.6421402
1966-08-01,1236725414.1825602
1966-09-01,1279773300.45098
1966-10-01,1296271256.8529499
1966-11-01,1299698893.16732
1966-12-01,1280111124.12126
1967-01-01,1309809114.40771
1967-02-01,1282468122.45425
1967-03-01,1240546480.05804
1967-04-01,1283090766.8648
1967-05-01,1266221300.03399
1967-06-01,1266229883.8921
1967-07-01,1265218380.23275
1967-08-01,1187703392.22836
1967-09-01,1214265992.81062
1967-10-01,988184857.642272
1967-11-01,952060688.3446579
1967-12-01,1198202639.33135
1968-01-01,1216996559.10307
1968-02-01,1272340911.86994
1968-03-01,1255694464.32106
1968-04-01,1225852101.12394
1968-05-01,1193968915.99752
1968-06-01,1271204737.02054
1968-07-01,1289342300.34138
1968-08-01,1312916112.8493102
1968-09-01,1315148995.18823
1968-10-01,1272832896.2514398
1968-11-01,1379769934.5916302
1968-12-01,1346926051.15289
1969-01-01,1369545819.5035799
1969-02-01,1321555765.2183201
1969-03-01,1348462254.84061
1969-04-01,1397736654.78582
1969-05-01,1463092058.79031
1969-06-01,1504959427.04199
1969-07-01,1491853461.51039
1969-08-01,1536525490.17987
1969-09-01,1507852245.9019601
1969-10-01,1495512849.7026
1969-11-01,1580826904.37309
1969-12-01,1532574945.5487
1970-01-01,1587382032.08846
1970-02-01,1569581519.63397
1970-03-01,1636329322.07071
1970-04-01,1603623354.66682
1970-05-01,1606235233.15274
1970-06-01,1612536790.2311301
1970-07-01,1626698326.99354
1970-08-01,1216428235.35743
1970-09-01,1678148575.12756
1970-10-01,1696178704.70063
1970-11-01,1727338279.2937
1970-12-01,1730659613.49032
1971-01-01,1670368821.5815
1971-02-01,1482734180.83838
1971-03-01,1780287985.3654602
1971-04-01,1865615872.88985
1971-05-01,1867643067.46046
1971-06-01,1830189638.85104
1971-07-01,1873368832.9943
1971-08-01,1870249548.14706
1971-09-01,1953870998.36896
1971-10-01,1897185232.34189
1971-11-01,1903861116.09896
1971-12-01,2061478332.08392
1972-01-01,2087361914.54364
1972-02-01,2019678295.01137
1972-03-01,1955292501.6826801
1972-04-01,2018563378.40655
1972-05-01,2114372156.3960297
1972-06-01,2173237880.9546604
1972-07-01,1947173635.89399
1972-08-01,1197211289.39906
1972-09-01,2063092826.89775
1972-10-01,2198188759.3272
1972-11-01,2133022828.3737803
1972-12-01,2096823230.33952
1973-01-01,2184604973.68295
1973-02-01,2212710619.14136
