DATE,XTIMVA01GBM667S
1960-01-01,1030544289.8778201
1960-02-01,1063621030.55162
1960-03-01,1031919615.8594499
1960-04-01,1093628499.9096498
1960-05-01,1096566584.5417202
1960-06-01,1086206414.05434
1960-07-01,1104916587.21786
1960-08-01,1096489950.07744
1960-09-01,1083085735.92763
1960-10-01,1089005768.4134998
1960-11-01,1166975309.08201
1960-12-01,1115511388.01829
1961-01-01,1111681082.07807
1961-02-01,1101093326.25063
1961-03-01,1083701198.49087
1961-04-01,1055853799.89133
1961-05-01,1080323022.50137
1961-06-01,1059156583.61729
1961-07-01,1019078634.07251
1961-08-01,1039037645.22514
1961-09-01,1064090234.0127001
1961-10-01,1066279990.2211
1961-11-01,1053320674.35436
1961-12-01,1037352665.0596601
1962-01-01,1076065776.7816799
1962-02-01,1046545614.9116402
1962-03-01,1069780220.0659701
1962-04-01,1035082573.33824
1962-05-01,1122841743.8281698
1962-06-01,1085039479.1970398
1962-07-01,1095865317.77634
1962-08-01,1106315679.67674
1962-09-01,1088953207.13161
1962-10-01,1117500328.63521
1962-11-01,1077861865.2661002
1962-12-01,1062441037.89444
1963-01-01,1065192606.68015
1963-02-01,1112211090.67055
1963-03-01,1107986910.74585
1963-04-01,1112241817.6733398
1963-05-01,1162808355.8740501
1963-06-01,1163508396.69243
1963-07-01,1185783321.7176702
1963-08-01,1182417032.3505502
1963-09-01,1195501960.1653001
1963-10-01,1205266233.8984299
1963-11-01,1227355635.26323
1963-12-01,1263616146.4003599
1964-01-01,1335051402.46926
1964-02-01,1307393497.9997802
1964-03-01,1271766732.07233
1964-04-01,1326169713.79375
1964-05-01,1301436990.09023
1964-06-01,1330246512.96467
1964-07-01,1233002491.89939
1964-08-01,1385289405.80956
1964-09-01,1329252953.66695
1964-10-01,1383309348.48807
1964-11-01,1315931078.10529
1964-12-01,1346078892.4755101
1965-01-01,1304145207.16507
1965-02-01,1223326220.8701901
1965-03-01,1304682610.5458
1965-04-01,1308211130.36234
1965-05-01,1416913753.46736
1965-06-01,1329609023.63542
1965-07-01,1362034617.4784
1965-08-01,1326614976.53483
1965-09-01,1398531175.36144
1965-10-01,1380814928.25368
1965-11-01,1370903848.3594
1965-12-01,1392331365.1764998
1966-01-01,1426816392.3656402
1966-02-01,1423235897.94024
1966-03-01,1399805379.33082
1966-04-01,1410021270.26571
1966-05-01,1379735354.1592
1966-06-01,1352941996.03505
1966-07-01,1464650084.2060902
1966-08-01,1401436965.72094
1966-09-01,1427599406.53127
1966-10-01,1344477748.47032
1966-11-01,1230468686.65427
1966-12-01,1427688877.01283
1967-01-01,1534065617.53385
1967-02-01,1469230821.34834
1967-03-01,1441583959.93749
1967-04-01,1485341674.84211
1967-05-01,1424318057.01213
1967-06-01,1505331628.788
1967-07-01,1383812159.4861
1967-08-01,1506783127.74081
