DATE,MANMM101GBM189S
1986-09-01,82305000000.0
1986-10-01,85987000000.0
1986-11-01,88643000000.0
1986-12-01,88610000000.0
1987-01-01,96116000000.0
1987-02-01,97213000000.0
1987-03-01,99217000000.0
1987-04-01,100700000000.0
1987-05-01,103358000000.0
1987-06-01,104304000000.0
1987-07-01,106914000000.0
1987-08-01,108739000000.0
1987-09-01,108555000000.0
1987-10-01,112118000000.0
1987-11-01,113442000000.0
1987-12-01,113848000000.0
1988-01-01,116063000000.0
1988-02-01,115991000000.0
1988-03-01,117718000000.0
1988-04-01,119797000000.0
1988-05-01,120769000000.0
1988-06-01,122235000000.0
1988-07-01,123521000000.0
1988-08-01,124220000000.0
1988-09-01,125991000000.0
1988-10-01,127058000000.0
1988-11-01,125748000000.0
1988-12-01,128854000000.0
1989-01-01,129315000000.0
1989-02-01,132216000000.0
1989-03-01,134096000000.0
1989-04-01,133828000000.0
1989-05-01,136687000000.0
1989-06-01,156309000000.0
1989-07-01,157564000000.0
1989-08-01,161055000000.0
1989-09-01,162212000000.0
1989-10-01,163334000000.0
1989-11-01,164769000000.0
1989-12-01,168648000000.0
1990-01-01,168166000000.0
1990-02-01,169321000000.0
1990-03-01,170717000000.0
1990-04-01,171540000000.0
1990-05-01,172079000000.0
1990-06-01,173368000000.0
1990-07-01,173256000000.0
1990-08-01,173542000000.0
1990-09-01,175222000000.0
1990-10-01,175921000000.0
1990-11-01,177772000000.0
1990-12-01,178352000000.0
1991-01-01,178441000000.0
1991-02-01,178599000000.0
1991-03-01,179070000000.0
1991-04-01,179289000000.0
1991-05-01,181280000000.0
1991-06-01,181826000000.0
1991-07-01,181183000000.0
1991-08-01,181117000000.0
1991-09-01,183432000000.0
1991-10-01,182242000000.0
1991-11-01,182793000000.0
1991-12-01,183577000000.0
1992-01-01,185127000000.0
1992-02-01,185058000000.0
1992-03-01,186351000000.0
1992-04-01,188488000000.0
1992-05-01,186532000000.0
1992-06-01,186803000000.0
1992-07-01,186977000000.0
1992-08-01,185128000000.0
1992-09-01,189828000000.0
1992-10-01,193791000000.0
1992-11-01,194178000000.0
1992-12-01,192917000000.0
1993-01-01,192843000000.0
1993-02-01,195037000000.0
1993-03-01,194847000000.0
1993-04-01,196469000000.0
1993-05-01,197116000000.0
1993-06-01,198775000000.0
1993-07-01,200903000000.0
1993-08-01,203002000000.0
1993-09-01,203635000000.0
1993-10-01,205659000000.0
1993-11-01,207871000000.0
1993-12-01,212723000000.0
1994-01-01,215240000000.0
1994-02-01,216672000000.0
1994-03-01,217304000000.0
1994-04-01,216863000000.0
1994-05-01,217181000000.0
1994-06-01,216099000000.0
1994-07-01,217684000000.0
1994-08-01,219583000000.0
1994-09-01,218819000000.0
1994-10-01,219223000000.0
1994-11-01,220017000000.0
1994-12-01,220131000000.0
1995-01-01,221302000000.0
1995-02-01,224293000000.0
1995-03-01,231336000000.0
1995-04-01,228837000000.0
1995-05-01,230236000000.0
1995-06-01,230157000000.0
1995-07-01,234870000000.0
1995-08-01,246464000000.0
1995-09-01,248176000000.0
1995-10-01,249324000000.0
1995-11-01,249125000000.0
1995-12-01,252495000000.0
1996-01-01,254727000000.0
1996-02-01,255218000000.0
1996-03-01,256831000000.0
1996-04-01,260505000000.0
1996-05-01,258417000000.0
1996-06-01,265787000000.0
1996-07-01,266185000000.0
1996-08-01,264785000000.0
1996-09-01,273460000000.0
1996-10-01,271239000000.0
1996-11-01,272553000000.0
1996-12-01,275100000000.0
1997-01-01,279140000000.0
1997-02-01,281189000000.0
1997-03-01,283785000000.0
1997-04-01,290590000000.0
1997-05-01,296155000000.0
1997-06-01,319089000000.0
1997-07-01,330821000000.0
1997-08-01,328063000000.0
1997-09-01,325341000000.0
1997-10-01,329894000000.0
1997-11-01,332186000000.0
1997-12-01,334249000000.0
1998-01-01,336502000000.0
1998-02-01,339895000000.0
1998-03-01,345837000000.0
1998-04-01,346578000000.0
1998-05-01,350363000000.0
1998-06-01,352879000000.0
1998-07-01,351909000000.0
1998-08-01,351790000000.0
1998-09-01,354424000000.0
1998-10-01,359499000000.0
1998-11-01,365085000000.0
1998-12-01,362342000000.0
1999-01-01,365100000000.0
1999-02-01,367889000000.0
1999-03-01,368893000000.0
1999-04-01,372359000000.0
1999-05-01,371352000000.0
1999-06-01,380841000000.0
1999-07-01,381772000000.0
1999-08-01,388281000000.0
1999-09-01,386135000000.0
1999-10-01,391477000000.0
1999-11-01,397715000000.0
1999-12-01,399174000000.0
2000-01-01,405678000000.0
2000-02-01,409665000000.0
2000-03-01,413317000000.0
2000-04-01,421232000000.0
2000-05-01,428501000000.0
2000-06-01,431570000000.0
2000-07-01,435567000000.0
2000-08-01,440420000000.0
2000-09-01,441002000000.0
2000-10-01,448888000000.0
2000-11-01,448479000000.0
2000-12-01,459009000000.0
2001-01-01,462113000000.0
2001-02-01,466139000000.0
2001-03-01,476722000000.0
2001-04-01,479861000000.0
2001-05-01,481336000000.0
2001-06-01,483803000000.0
2001-07-01,492309000000.0
2001-08-01,488856000000.0
2001-09-01,499392000000.0
2001-10-01,501636000000.0
2001-11-01,505215000000.0
2001-12-01,505718000000.0
2002-01-01,501570000000.0
2002-02-01,504073000000.0
2002-03-01,503724000000.0
2002-04-01,506975000000.0
2002-05-01,512209000000.0
2002-06-01,517735000000.0
2002-07-01,523420000000.0
2002-08-01,525683000000.0
2002-09-01,532362000000.0
2002-10-01,535709000000.0
2002-11-01,538669000000.0
2002-12-01,544684000000.0
2003-01-01,544195000000.0
2003-02-01,551962000000.0
2003-03-01,553131000000.0
2003-04-01,558215000000.0
2003-05-01,563820000000.0
2003-06-01,562612000000.0
2003-07-01,565051000000.0
2003-08-01,571482000000.0
2003-09-01,577998000000.0
2003-10-01,584314000000.0
2003-11-01,590186000000.0
2003-12-01,595788000000.0
2004-01-01,603750000000.0
2004-02-01,607417000000.0
2004-03-01,615645000000.0
2004-04-01,629985000000.0
2004-05-01,618130000000.0
2004-06-01,634272000000.0
2004-07-01,640209000000.0
2004-08-01,649748000000.0
2004-09-01,652314000000.0
2004-10-01,659576000000.0
2004-11-01,666583000000.0
2004-12-01,670503000000.0
2005-01-01,678348000000.0
2005-02-01,682842000000.0
2005-03-01,690980000000.0
2005-04-01,696011000000.0
2005-05-01,703847000000.0
2005-06-01,710545000000.0
2005-07-01,718155000000.0
2005-08-01,723424000000.0
2005-09-01,732869000000.0
2005-10-01,735614000000.0
2005-11-01,745296000000.0
2005-12-01,755809000000.0
2006-01-01,753363000000.0
2006-02-01,765305000000.0
2006-03-01,771422000000.0
2006-04-01,785232000000.0
2006-05-01,780093000000.0
2006-06-01,783652000000.0
2006-07-01,791749000000.0
2006-08-01,799045000000.0
2006-09-01,800050000000.0
2006-10-01,812533000000.0
2006-11-01,816973000000.0
2006-12-01,836472000000.0
2007-01-01,824902000000.0
2007-02-01,832508000000.0
2007-03-01,840870000000.0
2007-04-01,847778000000.0
2007-05-01,864909000000.0
2007-06-01,876526000000.0
2007-07-01,887915000000.0
2007-08-01,899175000000.0
2007-09-01,911531000000.0
2007-10-01,917708000000.0
2007-11-01,921195000000.0
2007-12-01,919976000000.0
2008-01-01,1011268000000.0
2008-02-01,1010383000000.0
2008-03-01,1018270000000.0
2008-04-01,1014311000000.0
2008-05-01,1002579000000.0
2008-06-01,1001318000000.0
2008-07-01,996563000000.0
2008-08-01,984234000000.0
2008-09-01,992808000000.0
2008-10-01,992486000000.0
2008-11-01,1010171000000.0
2008-12-01,1029803000000.0
2009-01-01,1035553000000.0
2009-02-01,1035589000000.0
2009-03-01,1030796000000.0
2009-04-01,1020840000000.0
2009-05-01,1010119000000.0
2009-06-01,1002252000000.0
2009-07-01,1005461000000.0
2009-08-01,1016043000000.0
2009-09-01,1044369000000.0
2009-10-01,1050746000000.0
2009-11-01,1056530000000.0
2009-12-01,1062965000000.0
2010-01-01,1086665000000.0
2010-02-01,1101756000000.0
2010-03-01,1099119000000.0
2010-04-01,1096620000000.0
2010-05-01,1104117000000.0
2010-06-01,1110854000000.0
2010-07-01,1106646000000.0
2010-08-01,1098187000000.0
2010-09-01,1082137000000.0
2010-10-01,1094549000000.0
2010-11-01,1077534000000.0
2010-12-01,1079210000000.0
2011-01-01,1068508000000.0
2011-02-01,1065030000000.0
2011-03-01,1083305000000.0
2011-04-01,1080711000000.0
2011-05-01,1089111000000.0
2011-06-01,1075223000000.0
2011-07-01,1085049000000.0
2011-08-01,1106180000000.0
2011-09-01,1097258000000.0
2011-10-01,1089554000000.0
2011-11-01,1109576000000.0
2011-12-01,1078436000000.0
2012-01-01,1088495000000.0
2012-02-01,1084298000000.0
2012-03-01,1087189000000.0
2012-04-01,1082626000000.0
2012-05-01,1094373000000.0
2012-06-01,1103510000000.0
2012-07-01,1114233000000.0
2012-08-01,1115384000000.0
2012-09-01,1126127000000.0
2012-10-01,1130373000000.0
2012-11-01,1140403000000.0
2012-12-01,1148662000000.0
2013-01-01,1165407000000.0
2013-02-01,1180538000000.0
2013-03-01,1185762000000.0
2013-04-01,1200458000000.0
2013-05-01,1207341000000.0
2013-06-01,1219519000000.0
2013-07-01,1226842000000.0
2013-08-01,1235244000000.0
2013-09-01,1231997000000.0
2013-10-01,1256458000000.0
2013-11-01,1263625000000.0
2013-12-01,1275824000000.0
2014-01-01,1289011000000.0
2014-02-01,1302928000000.0
2014-03-01,1305257000000.0
2014-04-01,1316098000000.0
2014-05-01,1320537000000.0
2014-06-01,1323466000000.0
2014-07-01,1327718000000.0
2014-08-01,1334545000000.0
2014-09-01,1340870000000.0
2014-10-01,1344182000000.0
2014-11-01,1357381000000.0
2014-12-01,1368896000000.0
2015-01-01,1381897000000.0
2015-02-01,1377423000000.0
2015-03-01,1393119000000.0
2015-04-01,1405956000000.0
2015-05-01,1402874000000.0
2015-06-01,1407052000000.0
2015-07-01,1423995000000.0
2015-08-01,1428283000000.0
2015-09-01,1441024000000.0
2015-10-01,1455835000000.0
2015-11-01,1454697000000.0
2015-12-01,1462808000000.0
2016-01-01,1482606000000.0
2016-02-01,1508115000000.0
2016-03-01,1519555000000.0
2016-04-01,1518685000000.0
2016-05-01,1528655000000.0
2016-06-01,1588941000000.0
2016-07-01,1593403000000.0
2016-08-01,1602914000000.0
2016-09-01,1604515000000.0
2016-10-01,1612850000000.0
2016-11-01,1607361000000.0
2016-12-01,1621601000000.0
2017-01-01,1616925000000.0
2017-02-01,1628712000000.0
2017-03-01,1650074000000.0
2017-04-01,1656533000000.0
2017-05-01,1661790000000.0
2017-06-01,1666769000000.0
2017-07-01,1665047000000.0
2017-08-01,1684016000000.0
2017-09-01,1693117000000.0
2017-10-01,1690726000000.0
2017-11-01,1696048000000.0
2017-12-01,1703103000000.0
2018-01-01,1712056000000.0
2018-02-01,1712105000000.0
2018-03-01,1704459000000.0
2018-04-01,1708009000000.0
2018-05-01,1732393000000.0
2018-06-01,1739776000000.0
2018-07-01,1738423000000.0
2018-08-01,1744400000000.0
2018-09-01,1754810000000.0
2018-10-01,1779120000000.0
2018-11-01,1772804000000.0
2018-12-01,1770544000000.0
2019-01-01,1764310000000.0
2019-02-01,1759083000000.0
2019-03-01,1759753000000.0
2019-04-01,1758470000000.0
2019-05-01,1764249000000.0
2019-06-01,1767466000000.0
2019-07-01,1776652000000.0
2019-08-01,1791784000000.0
2019-09-01,1797425000000.0
2019-10-01,1795044000000.0
2019-11-01,1803875000000.0
2019-12-01,1810017000000.0
2020-01-01,1822616000000.0
2020-02-01,1843922000000.0
2020-03-01,1952215000000.0
2020-04-01,1988766000000.0
2020-05-01,2026676000000.0
2020-06-01,2042529000000.0
2020-07-01,2066351000000.0
2020-08-01,2075351000000.0
2020-09-01,2087878000000.0
2020-10-01,2117341000000.0
2020-11-01,2135690000000.0
2020-12-01,2183277000000.0
2021-01-01,2195753000000.0
2021-02-01,2217790000000.0
2021-03-01,2239763000000.0
2021-04-01,2260194000000.0
2021-05-01,2256372000000.0
2021-06-01,2273872000000.0
2021-07-01,2277480000000.0
2021-08-01,2278190000000.0
2021-09-01,2321336000000.0
2021-10-01,2336418000000.0
2021-11-01,2353383000000.0
2021-12-01,2373776000000.0
2022-01-01,2366126000000.0
2022-02-01,2384856000000.0
2022-03-01,2429932000000.0
2022-04-01,2417348000000.0
2022-05-01,2426357000000.0
2022-06-01,2446776000000.0
2022-07-01,2449861000000.0
2022-08-01,2465084000000.0
2022-09-01,2565360000000.0
2022-10-01,2456367000000.0
2022-11-01,2437608000000.0
2022-12-01,2386472000000.0
2023-01-01,2402361000000.0
2023-02-01,2394204000000.0
2023-03-01,2361481000000.0
